Institution,ZIP,Cost,
The Master's University and Seminary,91321-1200,41376,
The New England Conservatory of Music,02115-5018,70360,
The New School,10011-8871,73396,
The Restaurant School at Walnut Hill College,19104,39963,
The Sage Colleges,12180,48593,
The Southern Baptist Theological Seminary,40280-0001,31446,
The University of Alabama,35487-0100,30016,
The University of Findlay,45840-3653,48125,
The University of Montana,59812,21668,
The University of Montana-Western,59725-3598,17699,
The University of Tampa,33606-1490,46758,
The University of Tennessee-Chattanooga,37403-2598,24606,
The University of Tennessee-Knoxville,37996,32010,
The University of Tennessee-Martin,38238,21714,
The University of Texas at Arlington,76013,27280,
The University of Texas at Austin,78705,27728,
The University of Texas at Dallas,75080-3021,29964,
The University of Texas at El Paso,79968-0691,24521,
The University of Texas at San Antonio,78249-1644,20010,
The University of Texas at Tyler,75799-6699,22316,
The University of Texas of the Permian Basin,79762-0001,21142,
The University of Texas Rio Grande Valley,78539-2999,20946,
The University of the Arts,19102-4901,70172,
The University of the South,37383-1000,62690,
The University of Virginia's College at Wise,24293-4400,25276,
The University of West Florida,32514-5750,20322,
Thiel College,16125-2181,49936,
Thomas Aquinas College,93060,38164,
Thomas College,04901-5097,42140,
Thomas Jefferson University,19107,61778,
Thomas More College of Liberal Arts,03054,33500,
Thomas More University,41017-3495,44250,
Thomas University,31792,28180,
Three Rivers College,63901,18390,
Tiffin University,44883,42160,
Toccoa Falls College,30598,38104,
Tohono O'Odham Community College,85634-3129,11332,
Tompkins Cortland Community College,13053-0139,21458,
Torah Temimah Talmudical Seminary,11218,18550,
Tougaloo College,39174,23101,
Touro College,10018,38502,
Towson University,21252-0001,27474,
Transylvania University,40508-1797,54080,
Treasure Valley Community College,97914,14873,
Trevecca Nazarene University,37210,37198,
Trine University,46703-1764,48620,
Trinidad State Junior College,81082,20124,
Trinity Baptist College,32221,24300,
Trinity Bible College and Graduate School,58436-7105,29036,
Trinity Christian College,60463-0929,45025,
Trinity College,06106-3100,76850,
Trinity College of Florida,34655-4401,27750,
Trinity International University-Illinois,60015-1283,48048,
Trinity University,78212-7200,60664,
Trinity Valley Community College,75751,18142,
Trinity Washington University,20017-1094,38670,
Troy University,36082-0001,21778,
Truett McConnell University,30528,34074,
Truman State University,63501-4221,21932,
Tufts University,02155-5555,76200,
Tulane University of Louisiana,70118-5698,74884,
Tusculum University,37743,41972,
Tuskegee University,36088-1920,40750,
Tyler Junior College,75701,19862,
Union Bible College,46074-0900,15380,
Union College,68506,36600,
Union College,40906-1499,40950,
Union College,12308-2311,73410,
Union University,38305-3697,54990,
United States Merchant Marine Academy,11024-1634,5050,
United Talmudical Seminary,11211,21693,
United Tribes Technical College,58504,12822,
Unity College,04988,42880,
University at Buffalo,14260-1660,28666,
University of Advancing Technology,85283,27142,
University of Akron Main Campus,44325-4702,27452,
University of Alabama at Birmingham,35294-0110,27630,
University of Alabama in Huntsville,35899,27636,
University of Alaska Anchorage,99508,26713,
University of Alaska Fairbanks,99775,22170,
University of Alaska Southeast,99801-8697,19744,
University of Arizona,85721-0066,30041,
University of Arkansas,72701,26144,
University of Arkansas at Little Rock,72204,24230,
University of Arkansas at Monticello,71656,19993,
University of Arkansas at Pine Bluff,71601,21264,
University of Arkansas Community College Rich Mountain,71953,15062,
University of Arkansas-Fort Smith,72913-3649,20879,
University of Bridgeport,06604-5620,59582,
University of California-Berkeley,94720,39376,
University of California-Davis,95616-8678,35935,
University of California-Irvine,92697,35363,
University of California-Los Angeles,90095-1405,35793,
University of California-Merced,95343-5603,35973,
University of California-Riverside,92521,35387,
University of California-San Diego,92093,33849,
University of California-Santa Barbara,93106,36765,
University of California-Santa Cruz,95064-1011,37297,
University of Central Arkansas,72035-0001,23903,
University of Central Florida,32816,22548,
University of Central Missouri,64093,20631,
University of Central Oklahoma,73034,24601,
University of Charleston,25304,45310,
University of Chicago,60637,81531,
University of Cincinnati-Blue Ash College,45236-1096,23828,
University of Cincinnati-Main Campus,45221-0063,27964,
University of Colorado Boulder,80309-0017,31034,
University of Colorado Colorado Springs,80918,25904,
University of Colorado Denver/Anschutz Medical Campus,80217-3364,30154,
University of Connecticut,06269,34284,
University of Connecticut-Stamford,06901-2315,35022,
University of Dallas,75062-4736,59600,
University of Dayton,45469,60900,
University of Delaware,19716,30288,
University of Denver,80208,70092,
University of Detroit Mercy,48221-3038,42648,
University of Dubuque,52001,47630,
University of Evansville,47722,53676,
University of Florida,32611,21211,
University of Georgia,30602,27450,
University of Hartford,06117-1599,59249,
University of Hawaii at Hilo,96720-4091,20672,
University of Hawaii at Manoa,96822-2217,29823,
University of Holy Cross,70131-7399,30999,
University of Houston,77204-2018,23979,
University of Houston-Clear Lake,77058-1002,26986,
University of Houston-Victoria,77901,19846,
University of Idaho,83844-2282,21820,
University of Illinois at Chicago,60607,31381,
University of Illinois at Springfield,62703-5407,25473,
University of Illinois at Urbana-Champaign,61820-5711,30302,
University of Indianapolis,46227-3697,46020,
University of Iowa,52242-1316,24806,
University of Jamestown,58405,34814,
University of Kansas,66045,26830,
University of Kentucky,40506-0032,30928,
University of La Verne,91750-4401,64050,
University of Louisiana at Lafayette,70503,26620,
University of Louisiana at Monroe,71209-0000,22169,
University of Louisville,40292-0001,28898,
University of Lynchburg,24501-3113,55390,
University of Maine,04469,25604,
University of Maine at Augusta,04330-9410,20968,
University of Maine at Farmington,04938-9978,23132,
University of Maine at Fort Kent,04743-1292,20245,
University of Maine at Machias,04654-1397,20516,
University of Maine at Presque Isle,04769-2888,20226,
University of Mary,58504,30500,
University of Mary Hardin-Baylor,76513-2599,42812,
University of Mary Washington,22401-5300,29490,
University of Maryland Eastern Shore,21853-1299,24693,
University of Maryland-Baltimore County,21250,29030,
University of Maryland-College Park,20742,27866,
University of Massachusetts-Amherst,01003,31793,
University of Massachusetts-Boston,02125-3393,35287,
University of Massachusetts-Dartmouth,02747-2300,31777,
University of Massachusetts-Lowell,01854-5104,31332,
University of Memphis,38152,26386,
University of Miami,33146,70906,
University of Michigan-Ann Arbor,48109,31056,
University of Michigan-Flint,48502-1950,24310,
University of Minnesota-Crookston,56716-5001,24242,
University of Minnesota-Duluth,55812,25574,
University of Minnesota-Morris,56267,24680,
University of Minnesota-Rochester,55904,26504,
University of Minnesota-Twin Cities,55455-0213,28819,
University of Mississippi,38677-1848,25762,
University of Missouri-Columbia,65211-1050,27197,
University of Missouri-Kansas City,64110,26421,
University of Missouri-St Louis,63121-4400,26090,
University of Mobile,36613-2842,40110,
University of Montevallo,35115-6000,27718,
University of Mount Olive,28365-0919,33344,
University of Mount Union,44601-3993,44935,
University of Nebraska at Kearney,68849-1212,23652,
University of Nebraska at Omaha,68182-0225,22750,
University of Nebraska-Lincoln,68588,25716,
University of Nevada-Las Vegas,89154,24721,
University of Nevada-Reno,89557,25664,
University of New England,04005-9599,57310,
University of New Hampshire at Manchester,03101-1113,30788,
University of New Hampshire-Main Campus,03824-3547,34472,
University of New Haven,06516-1916,60038,
University of New Mexico-Main Campus,87106,23231,
University of New Orleans,70148,23816,
University of North Alabama,35632-0001,22750,
University of North Carolina at Asheville,28804-8510,20555,
University of North Carolina at Chapel Hill,27599,24228,
University of North Carolina at Charlotte,28223-0001,25019,
University of North Carolina at Greensboro,27402-6170,19937,
University of North Carolina at Pembroke,28372-1510,17160,
University of North Carolina School of the Arts,27127-2738,22278,
University of North Carolina Wilmington,28403-5963,25350,
University of North Dakota,58202-8193,23604,
University of North Florida,32224-7699,21379,
University of North Georgia,30597,20854,
University of North Texas,76203-1277,25012,
University of North Texas at Dallas,75241,23375,
University of Northern Colorado,80639,25459,
University of Northern Iowa,50614-0005,21294,
University of Northwestern Ohio,45805,24100,
University of Northwestern-St Paul,55113-1598,44430,
University of Notre Dame,46556,74193,
University of Oklahoma-Norman Campus,73019-3072,29741,
University of Oregon,97403,28764,
University of Pennsylvania,19104-6303,77264,
University of Pikeville,41501,34540,
University of Pittsburgh-Bradford,16701,28706,
University of Pittsburgh-Greensburg,15601-5860,29954,
University of Pittsburgh-Johnstown,15904,29152,
University of Pittsburgh-Pittsburgh Campus,15260,34409,
University of Pittsburgh-Titusville,16354,28084,
University of Portland,97203-5798,64686,
University of Providence,59405-4996,40708,
University of Puget Sound,98416,68146,
University of Redlands,92373-0999,71338,
University of Rhode Island,02881,30846,
University of Richmond,23173,69750,
University of Rio Grande,45674,43875,
University of Rochester,14627-0011,75190,
University of Saint Francis-Fort Wayne,46808-3994,45020,
University of Saint Joseph,06117,54657,
University of Saint Mary,66048-5082,42940,
University of San Diego,92110-2492,70999,
University of San Francisco,94117-1080,71092,
University of Science and Arts of Oklahoma,73018-5322,19200,
University of Scranton,18510-4699,64272,
University of Sioux Falls,57105-1699,31140,
University of South Alabama,36688-0002,22412,
University of South Carolina Aiken,29801,22727,
University of South Carolina Beaufort,29909,24360,
University of South Carolina-Columbia,29208,28829,
University of South Carolina-Upstate,29303-4999,25393,
University of South Dakota,57069-2390,23399,
University of South Florida-Main Campus,33620-9951,23446,
University of South Florida-St Petersburg,33701-9807,22857,
University of Southern California,90089,77459,
University of Southern Indiana,47712,21820,
University of Southern Maine,04103,22782,
University of Southern Mississippi,39406-0001,24669,
University of St Francis,60435-6188,47810,
University of St Thomas,77006-4696,45756,
University of St Thomas,55105-1078,60458,
University of the Cumberlands,40769,24265,
University of the Incarnate Word,78209,49900,
University of the Ozarks,72830,35950,
University of the Pacific,95211-0197,68684,
University of the Sciences,19104-4495,46516,
University of the Southwest,88240,28770,
University of the West,91770,27042,
University of Toledo,43606-3390,28380,
University of Tulsa,74104-3189,61247,
University of Utah,84112-9008,23869,
University of Valley Forge,19460-2373,35690,
University of Vermont,05405-0160,35220,
University of Virginia-Main Campus,22903-2628,34094,
University of Washington-Bothell Campus,98011-8246,28715,
University of Washington-Seattle Campus,98195-4550,28394,
University of Washington-Tacoma Campus,98402-3100,27596,
University of West Alabama,35470,23205,
University of West Georgia,30118-0001,25529,
University of Wisconsin-Eau Claire,54701,20822,
University of Wisconsin-Green Bay,54311-7001,19459,
University of Wisconsin-La Crosse,54601-9959,17684,
University of Wisconsin-Madison,53706-1380,26553,
University of Wisconsin-Milwaukee,53211,24514,
University of Wisconsin-Oshkosh,54901,19616,
University of Wisconsin-Parkside,53144,19725,
University of Wisconsin-Platteville,53818-3099,19277,
University of Wisconsin-River Falls,54022-5001,18333,
University of Wisconsin-Stevens Point,54481-3897,19282,
University of Wisconsin-Stout,54751,20031,
University of Wisconsin-Superior,54880-4500,19810,
University of Wisconsin-Whitewater,53190-1790,19115,
University of Wyoming,82071,20258,
Upper Iowa University,52142-1857,45237,
Urshan College,63385,11285,
Ursinus College,19426-1000,70052,
Ursuline College,44124,47566,
Uta Mesivta of Kiryas Joel,10950,23600,
Utah State University,84322-1400,21106,
Utica College,13502-4892,36993,
Valdosta State University,31698,20745,
Valley City State University,58072,19053,
Valley Forge Military College,19087-3695,49975,
Valor Christian College,43110,19407,
Valparaiso University,46383,56900,
Vanderbilt University,37240,73148,
Vanguard University of Southern California,92626,49900,
Vassar College,12604,75240,
Vaughn College of Aeronautics and Technology,11369,49430,
Vermilion Community College,55731-1918,18594,
Vermont Technical College,05061,28962,
Vernon College,76384-4092,14751,
Villanova University,19085-1699,73124,
Vincennes University,47591,21012,
Virginia Commonwealth University,23284-2512,32722,
Virginia Military Institute,24450-0304,32034,
Virginia Polytechnic Institute and State University,24061-0131,27283,
Virginia State University,23806,23673,
Virginia Union University,23220,32179,
Virginia University of Lynchburg,24501,25329,
Virginia Wesleyan University,23455,51041,
Visible Music College,38103,31274,
Viterbo University,54601-8804,41445,
Voorhees College,29042,26336,
Wabash College,47933-0352,58770,
Wagner College,10301-4495,66173,
Wake Forest University,27106,74358,
Waldorf University,50436-1713,34494,
Walla Walla University,99324-1198,39495,
Walsh University,44720-3396,45551,
Warner Pacific University,97215,32130,
Warner University,33859-8797,34710,
Warren Wilson College,28778-2099,52504,
Wartburg College,50677-0903,55610,
Washburn University,66621-0001,22703,
Washington & Jefferson College,15301,63542,
Washington Adventist University,20912,36716,
Washington and Lee University,24450-2116,73900,
Washington College,21620-1438,65456,
Washington County Community College,04619,13324,
Washington State University,99164-5910,27991,
Washington University in St Louis,63130-4899,76910,
Watkins College of Art Design & Film,37228,42750,
Wave Leadership College,23454-2140,20338,
Wayland Baptist University,79072,36256,
Wayne State College,68787,19752,
Wayne State University,48202,27486,
Waynesburg University,15370-1257,38500,
Weatherford College,76086-5699,18987,
Webb Institute,11542-1398,72690,
Webber International University,33827-0096,43636,
Weber State University,84408-1031,21057,
Webster University,63119-3194,46632,
Welch College,37066-8460,35310,
Wellesley College,02481-8203,75198,
Wells College,13026-0500,46850,
Wenatchee Valley College,98801-1799,16088,
Wentworth Institute of Technology,02115,54746,
Wesley College,19901-3875,43020,
Wesleyan College,31210-4462,36030,
Wesleyan University,06459,75723,
West Chester University of Pennsylvania,19383,27315,
West Hills College-Coalinga,93210,14957,
West Liberty University,26074,23284,
West Texas A & M University,79016-0001,21485,
West Virginia State University,25112-1000,24981,
West Virginia University,26506,23738,
West Virginia University Institute of Technology,25801,22888,
West Virginia Wesleyan College,26201-2994,47307,
Westcliff University,92606,24451,
Western Carolina University,28723-9646,18740,
Western Colorado University,81231,24955,
Western Connecticut State University,06810-6826,28346,
Western Illinois University,61455,26548,
Western Iowa Tech Community College,51102-5199,16523,
Western Kentucky University,42101-1000,22269,
Western Michigan University,49008-5200,27071,
Western Nebraska Community College,69361-1899,14598,
Western New England University,01119-2684,55389,
Western New Mexico University,88061,22762,
Western Oklahoma State College,73521-1397,16672,
Western Oregon University,97361-1394,23853,
Western Pennsylvania Hospital School of Nursing,15224,21453,
Western Technical College,54601,16596,
Western Texas College,79549,14579,
Western Washington University,98225-9008,25005,
Western Wyoming Community College,82901,14630,
Westfield State University,01086-1630,26044,
Westminster College,16172,51000,
Westminster College,65251-1299,45088,
Westminster College,84105,50276,
Westmont College,93108-1089,64240,
Wharton County Junior College,77488,12786,
Whatcom Community College,98226,17160,
Wheaton College,02766-2322,70664,
Wheaton College,60187-5593,51130,
Wheeling University,26003,42290,
Whitman College,99362,69532,
Whittier College,90601,65668,
Whitworth University,99251,61088,
Wichita State University,67260-0124,25438,
Widener University,19013-5792,65092,
Wilberforce University,45384-1001,23450,
Wiley College,75670,23894,
Wilkes University,18766,57530,
Willamette University,97301,67550,
William & Mary,23187-8795,39595,
William Carey University,39401,23639,
William Jessup University,95765-3707,52338,
William Jewell College,64068-1896,49248,
William Paterson University of New Jersey,07470,30660,
William Peace University,27604-1194,48034,
William Penn University,52577,39006,
William Woods University,65251-2388,42338,
Williams Baptist University,72476,30716,
Williams College,01267,75520,
Williamson College of the Trades,19063-5299,33460,
Williston State College,58801,18496,
Wilmington College,45177,40775,
Wilson College,17201-1285,39854,
Wingate University,28174-0159,50370,
Winona State University,55987-5838,22304,
Winston-Salem State University,27110-0001,20512,
Winthrop University,29733,29754,
Wisconsin Lutheran College,53226-4699,44462,
Wittenberg University,45504,54044,
Wofford College,29303-3663,62678,
Woodbury University,91504-1052,59278,
Worcester Polytechnic Institute,01609-2280,69822,
Worcester State University,01602-2597,25589,
Word of Life Bible Institute,12860-0129,19187,
Wright State University-Lake Campus,45822-2952,21668,
Wright State University-Main Campus,45435-0001,25796,
Xavier University,45207-1092,58260,
Xavier University of Louisiana,70125-1098,38485,
Yakima Valley College,98907-2520,16855,
Yale University,06520,76645,
Yavapai College,86301,16954,
Yeshiva Bais Aharon,08701-2053,15375,
Yeshiva Chemdas Hatorah,08701-4618,19830,
Yeshiva College of the Nations Capital,20902,23200,
Yeshiva D'monsey Rabbinical College,10952,16000,
Yeshiva Derech Chaim,11218-0000,19900,
Yeshiva Gedola Ohr Yisrael,11229,16900,
Yeshiva Gedola Tiferes Yaakov Yitzchok,08701-5502,19000,
Yeshiva Gedola Tiferes Yerachmiel,08701-0000,14800,
Yeshiva Gedolah Keren Hatorah,08701-1239,14150,
Yeshiva Gedolah Kesser Torah,10952-2127,19300,
Yeshiva Gedolah of Cliffwood,07735-5105,14850,
Yeshiva Gedolah of Greater Detroit,48237,16000,
Yeshiva Gedolah of Woodlake Village,08701-0000,14050,
Yeshiva Gedolah Shaarei Shmuel,08701-3623,14900,
Yeshiva Gedolah Tiferes Boruch,07060-0000,15300,
Yeshiva Gedolah Zichron Leyma,07083-3618,16750,
Yeshiva Karlin Stolin,11204-1545,20000,
Yeshiva Kollel Tifereth Elizer,11219,19960,
Yeshiva of Far Rockaway Derech Ayson Rabbinical Seminary,11691-5219,23250,
Yeshiva of Machzikai Hadas,11219-1408,26930,
Yeshiva of Nitra Rabbinical College,10549,22800,
Yeshiva of Ocean,12435-5308,14100,
Yeshiva of the Telshe Alumni,10471-2897,19700,
Yeshiva Ohr Elchonon Chabad West Coast Talmudical Seminary,90046-7660,27600,
Yeshiva Ohr Naftoli,12553-8006,18425,
Yeshiva Shaar Ephraim,10952-2732,23060,
Yeshiva Shaar Hatorah,11418,18780,
Yeshiva Shaarei Torah of Rockland,10901-4003,21700,
Yeshiva Sholom Shachna,11230,20600,
Yeshiva Toras Chaim,08701,21650,
Yeshiva University,10033-3299,64050,
Yeshiva Yesoda Hatorah Vetz Chaim,11211-7106,25200,
Yeshiva Yesodei Hatorah,08701-4946,19300,
Yeshiva Zichron Aryeh,11691-0000,18250,
Yeshivah Gedolah Rabbinical College,33139,17200,
Yeshivas Be'er Yitzchok,07208,20000,
Yeshivas Maharit D'Satmar,10950,19420,
Yeshivas Novominsk,11204-2138,18000,
Yeshivath Beth Moshe,18505-2196,17300,
Yeshivath Viznitz,10952,18150,
Yeshivath Zichron Moshe,12779,21600,
York College,68467-2699,30810,
York College of Pennsylvania,17403-3651,35675,
Young Americans College of the Performing Arts,92881-3390,36614,
Young Harris College,30582,44142,
Youngstown State University,44555-0001,23563,
